:START_ID,predicate,:END_ID,:TYPE,evidence_sentence,source_chunk_id,description
chunk:f625f2b645f7a0fe5fac,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:f625f2b645f7a0fe5fac,
chunk:2bbb32dfe972e7f91753,NEXT,chunk:052131a9c5c6da11ac6e,NEXT,,chunk:2bbb32dfe972e7f91753,
chunk:2bbb32dfe972e7f91753,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:2bbb32dfe972e7f91753,
chunk:052131a9c5c6da11ac6e,NEXT,chunk:2419cf944a64f5835283,NEXT,,chunk:052131a9c5c6da11ac6e,
chunk:052131a9c5c6da11ac6e,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:052131a9c5c6da11ac6e,
chunk:2419cf944a64f5835283,NEXT,chunk:ea00d61f6c0f482db18f,NEXT,,chunk:2419cf944a64f5835283,
chunk:2419cf944a64f5835283,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:2419cf944a64f5835283,
chunk:ea00d61f6c0f482db18f,NEXT,chunk:95b85c8426d2e5af0f8b,NEXT,,chunk:ea00d61f6c0f482db18f,
chunk:ea00d61f6c0f482db18f,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:ea00d61f6c0f482db18f,
chunk:95b85c8426d2e5af0f8b,NEXT,chunk:e28cafe2a40c8ee5030c,NEXT,,chunk:95b85c8426d2e5af0f8b,
chunk:95b85c8426d2e5af0f8b,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:95b85c8426d2e5af0f8b,
chunk:e28cafe2a40c8ee5030c,NEXT,chunk:c48705477d8bd94c77ee,NEXT,,chunk:e28cafe2a40c8ee5030c,
chunk:e28cafe2a40c8ee5030c,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:e28cafe2a40c8ee5030c,
chunk:c48705477d8bd94c77ee,NEXT,chunk:e3d960132948ba8a67f5,NEXT,,chunk:c48705477d8bd94c77ee,
chunk:c48705477d8bd94c77ee,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:c48705477d8bd94c77ee,
chunk:e3d960132948ba8a67f5,NEXT,chunk:0774a147c72142c8c10b,NEXT,,chunk:e3d960132948ba8a67f5,
chunk:e3d960132948ba8a67f5,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:e3d960132948ba8a67f5,
chunk:0774a147c72142c8c10b,NEXT,chunk:5a3e507456deeb696e68,NEXT,,chunk:0774a147c72142c8c10b,
chunk:0774a147c72142c8c10b,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:0774a147c72142c8c10b,
chunk:5a3e507456deeb696e68,NEXT,chunk:5c8dc13e804ec7320833,NEXT,,chunk:5a3e507456deeb696e68,
chunk:5a3e507456deeb696e68,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:5a3e507456deeb696e68,
chunk:5c8dc13e804ec7320833,NEXT,chunk:9ff49c37033a7a679725,NEXT,,chunk:5c8dc13e804ec7320833,
chunk:5c8dc13e804ec7320833,PART_OF,document:d52da28a502933729b1b,PART_OF,,chunk:5c8dc13e804ec7320833,
chunk:9ff49c37033a7a679725,NEXT,chunk:0ab24c69d5800265db56,NEXT,,chunk:9ff49c37033a7a679725,
